,Babel El Mandeb,Strait Of Hormuz,Panama Canal,Suez Canal,Cape Of Good Hope,Strait Of Malacca
1970-01-01 00:00:00.000000000,21.0,49.0,25.0,22.0,11.0,15
1970-01-01 00:00:00.000000001,18.0,44.0,10.0,10.0,4.0,17
1970-01-01 00:00:00.000000002,18.0,36.0,14.0,24.0,16.0,6
1970-01-01 00:00:00.000000003,18.0,41.0,9.0,15.0,12.0,16
1970-01-01 00:00:00.000000004,22.0,58.0,16.0,13.0,11.0,16
1970-01-01 00:00:00.000000005,18.0,52.0,12.0,19.0,22.0,19
1970-01-01 00:00:00.000000006,16.0,48.0,17.0,15.0,8.0,7
1970-01-01 00:00:00.000000007,16.0,46.0,14.0,11.0,11.0,15
1970-01-01 00:00:00.000000008,17.0,47.0,11.0,19.0,10.0,19
1970-01-01 00:00:00.000000009,11.0,52.0,10.0,16.0,15.0,20
1970-01-01 00:00:00.000000010,20.0,66.0,12.0,20.0,8.0,12
1970-01-01 00:00:00.000000011,13.0,51.0,15.0,12.0,21.0,11
1970-01-01 00:00:00.000000012,11.0,48.0,12.0,15.0,8.0,26
1970-01-01 00:00:00.000000013,18.0,58.0,15.0,10.0,16.0,18
1970-01-01 00:00:00.000000014,18.0,56.0,15.0,19.0,12.0,13
1970-01-01 00:00:00.000000015,21.0,57.0,15.0,13.0,10.0,12
1970-01-01 00:00:00.000000016,18.0,58.0,14.0,15.0,16.0,11
1970-01-01 00:00:00.000000017,17.0,50.0,7.0,13.0,12.0,18
1970-01-01 00:00:00.000000018,14.0,57.0,19.0,16.0,10.0,19
1970-01-01 00:00:00.000000019,21.0,46.0,14.0,12.0,6.0,19
1970-01-01 00:00:00.000000020,13.0,53.0,10.0,22.0,16.0,17
1970-01-01 00:00:00.000000021,21.0,53.0,12.0,23.0,14.0,18
1970-01-01 00:00:00.000000022,18.0,51.0,12.0,20.0,11.0,18
1970-01-01 00:00:00.000000023,13.0,56.0,14.0,16.0,12.0,17
1970-01-01 00:00:00.000000024,9.0,49.0,10.0,16.0,12.0,17
1970-01-01 00:00:00.000000025,24.0,51.0,15.0,12.0,12.0,15
1970-01-01 00:00:00.000000026,12.0,58.0,12.0,19.0,6.0,12
1970-01-01 00:00:00.000000027,18.0,49.0,16.0,18.0,18.0,20
1970-01-01 00:00:00.000000028,17.0,54.0,13.0,14.0,10.0,12
1970-01-01 00:00:00.000000029,11.0,60.0,15.0,16.0,9.0,12
1970-01-01 00:00:00.000000030,22.0,42.0,18.0,18.0,15.0,12
1970-01-01 00:00:00.000000031,13.0,34.0,15.0,11.0,10.0,12
1970-01-01 00:00:00.000000032,10.0,52.0,8.0,12.0,8.0,18
1970-01-01 00:00:00.000000033,28.0,57.0,17.0,12.0,8.0,17
1970-01-01 00:00:00.000000034,14.0,43.0,17.0,18.0,6.0,17
1970-01-01 00:00:00.000000035,18.0,44.0,12.0,19.0,10.0,14
1970-01-01 00:00:00.000000036,19.0,42.0,11.0,15.0,9.0,20
1970-01-01 00:00:00.000000037,18.0,49.0,15.0,22.0,13.0,18
1970-01-01 00:00:00.000000038,12.0,59.0,15.0,18.0,14.0,19
1970-01-01 00:00:00.000000039,17.0,52.0,17.0,12.0,17.0,17
1970-01-01 00:00:00.000000040,19.0,48.0,11.0,12.0,11.0,12
1970-01-01 00:00:00.000000041,19.0,60.0,8.0,19.0,14.0,13
1970-01-01 00:00:00.000000042,16.0,53.0,8.0,24.0,15.0,16
1970-01-01 00:00:00.000000043,15.0,39.0,9.0,12.0,11.0,18
1970-01-01 00:00:00.000000044,12.0,45.0,12.0,17.0,13.0,11
1970-01-01 00:00:00.000000045,18.0,40.0,11.0,7.0,8.0,19
1970-01-01 00:00:00.000000046,22.0,44.0,13.0,20.0,10.0,16
1970-01-01 00:00:00.000000047,22.0,50.0,11.0,18.0,13.0,10
1970-01-01 00:00:00.000000048,15.0,62.0,15.0,17.0,13.0,24
1970-01-01 00:00:00.000000049,19.0,57.0,17.0,13.0,11.0,17
1970-01-01 00:00:00.000000050,13.0,78.0,9.0,19.0,18.0,23
1970-01-01 00:00:00.000000051,11.0,48.0,15.0,11.0,13.0,19
1970-01-01 00:00:00.000000052,17.0,55.0,10.0,20.0,10.0,15
1970-01-01 00:00:00.000000053,11.0,38.0,14.0,15.0,6.0,20
1970-01-01 00:00:00.000000054,27.0,46.0,20.0,15.0,6.0,17
1970-01-01 00:00:00.000000055,12.0,51.0,11.0,14.0,7.0,19
1970-01-01 00:00:00.000000056,18.0,62.0,13.0,14.0,7.0,20
1970-01-01 00:00:00.000000057,13.0,65.0,13.0,10.0,14.0,18
1970-01-01 00:00:00.000000058,20.0,57.0,12.0,18.0,6.0,15
1970-01-01 00:00:00.000000059,15.0,48.0,11.0,20.0,13.0,14
1970-01-01 00:00:00.000000060,16.0,74.0,13.0,15.0,16.0,17
1970-01-01 00:00:00.000000061,20.0,45.0,14.0,15.0,12.0,11
1970-01-01 00:00:00.000000062,15.0,50.0,16.0,23.0,12.0,21
1970-01-01 00:00:00.000000063,15.0,60.0,21.0,19.0,19.0,21
1970-01-01 00:00:00.000000064,17.0,46.0,10.0,18.0,7.0,15
1970-01-01 00:00:00.000000065,14.0,38.0,17.0,22.0,24.0,11
1970-01-01 00:00:00.000000066,17.0,57.0,11.0,16.0,19.0,16
1970-01-01 00:00:00.000000067,20.0,49.0,23.0,25.0,9.0,17
1970-01-01 00:00:00.000000068,26.0,62.0,13.0,21.0,10.0,19
1970-01-01 00:00:00.000000069,19.0,53.0,18.0,23.0,12.0,13
1970-01-01 00:00:00.000000070,26.0,68.0,11.0,20.0,8.0,20
1970-01-01 00:00:00.000000071,13.0,59.0,13.0,11.0,6.0,16
1970-01-01 00:00:00.000000072,25.0,70.0,12.0,22.0,9.0,10
1970-01-01 00:00:00.000000073,24.0,36.0,9.0,16.0,13.0,24
1970-01-01 00:00:00.000000074,22.0,43.0,13.0,12.0,9.0,12
1970-01-01 00:00:00.000000075,18.0,52.0,14.0,13.0,14.0,19
1970-01-01 00:00:00.000000076,24.0,52.0,12.0,12.0,13.0,18
1970-01-01 00:00:00.000000077,10.0,53.0,16.0,22.0,10.0,23
1970-01-01 00:00:00.000000078,15.0,54.0,9.0,18.0,8.0,18
1970-01-01 00:00:00.000000079,20.0,70.0,11.0,13.0,11.0,23
1970-01-01 00:00:00.000000080,15.0,48.0,16.0,17.0,17.0,17
1970-01-01 00:00:00.000000081,16.0,48.0,11.0,18.0,11.0,21
1970-01-01 00:00:00.000000082,15.0,58.0,7.0,19.0,4.0,13
1970-01-01 00:00:00.000000083,23.0,43.0,16.0,20.0,14.0,13
1970-01-01 00:00:00.000000084,25.0,53.0,16.0,15.0,11.0,19
1970-01-01 00:00:00.000000085,17.0,48.0,10.0,7.0,6.0,21
1970-01-01 00:00:00.000000086,8.0,63.0,9.0,18.0,11.0,19
1970-01-01 00:00:00.000000087,14.0,58.0,14.0,19.0,13.0,19
1970-01-01 00:00:00.000000088,18.0,45.0,14.0,13.0,10.0,19
1970-01-01 00:00:00.000000089,11.0,47.0,11.0,12.0,7.0,10
1970-01-01 00:00:00.000000090,17.0,55.0,14.0,24.0,10.0,24
1970-01-01 00:00:00.000000091,18.0,53.0,13.0,14.0,14.0,17
1970-01-01 00:00:00.000000092,16.0,48.0,11.0,19.0,14.0,23
1970-01-01 00:00:00.000000093,11.0,58.0,14.0,19.0,11.0,20
1970-01-01 00:00:00.000000094,16.0,61.0,13.0,19.0,12.0,16
1970-01-01 00:00:00.000000095,11.0,54.0,15.0,15.0,11.0,15
1970-01-01 00:00:00.000000096,25.0,77.0,12.0,14.0,6.0,16
1970-01-01 00:00:00.000000097,20.0,53.0,13.0,19.0,8.0,16
1970-01-01 00:00:00.000000098,16.0,46.0,15.0,21.0,13.0,14
1970-01-01 00:00:00.000000099,17.0,53.0,14.0,14.0,8.0,19
1970-01-01 00:00:00.000000100,21.0,68.0,7.0,16.0,18.0,11
1970-01-01 00:00:00.000000101,20.0,49.0,11.0,10.0,13.0,14
1970-01-01 00:00:00.000000102,12.0,66.0,13.0,13.0,12.0,23
1970-01-01 00:00:00.000000103,19.0,60.0,10.0,17.0,15.0,7
1970-01-01 00:00:00.000000104,15.0,55.0,16.0,13.0,8.0,15
1970-01-01 00:00:00.000000105,21.0,58.0,9.0,14.0,11.0,23
1970-01-01 00:00:00.000000106,14.0,41.0,9.0,14.0,8.0,16
1970-01-01 00:00:00.000000107,21.0,51.0,19.0,21.0,11.0,19
1970-01-01 00:00:00.000000108,16.0,42.0,18.0,13.0,16.0,13
1970-01-01 00:00:00.000000109,18.0,65.0,9.0,10.0,17.0,20
1970-01-01 00:00:00.000000110,18.0,38.0,10.0,15.0,12.0,15
1970-01-01 00:00:00.000000111,14.0,41.0,21.0,23.0,12.0,20
1970-01-01 00:00:00.000000112,15.0,49.0,22.0,22.0,15.0,8
1970-01-01 00:00:00.000000113,20.0,71.0,12.0,11.0,14.0,25
1970-01-01 00:00:00.000000114,24.0,58.0,7.0,9.0,10.0,16
1970-01-01 00:00:00.000000115,19.0,58.0,13.0,21.0,7.0,11
1970-01-01 00:00:00.000000116,20.0,53.0,12.0,12.0,24.0,24
1970-01-01 00:00:00.000000117,17.0,62.0,10.0,7.0,12.0,10
1970-01-01 00:00:00.000000118,17.0,48.0,13.0,23.0,6.0,11
1970-01-01 00:00:00.000000119,14.0,47.0,12.0,21.0,8.0,8
1970-01-01 00:00:00.000000120,19.0,61.0,15.0,17.0,20.0,13
1970-01-01 00:00:00.000000121,12.0,46.0,15.0,15.0,13.0,14
1970-01-01 00:00:00.000000122,18.0,46.0,9.0,17.0,5.0,19
1970-01-01 00:00:00.000000123,12.0,43.0,13.0,16.0,8.0,11
1970-01-01 00:00:00.000000124,26.0,51.0,13.0,17.0,21.0,15
1970-01-01 00:00:00.000000125,20.0,48.0,16.0,11.0,9.0,18
1970-01-01 00:00:00.000000126,16.0,53.0,15.0,16.0,9.0,14
1970-01-01 00:00:00.000000127,17.0,53.0,13.0,12.0,20.0,13
1970-01-01 00:00:00.000000128,12.0,50.0,14.0,11.0,13.0,19
1970-01-01 00:00:00.000000129,15.0,63.0,9.0,18.0,4.0,13
1970-01-01 00:00:00.000000130,17.0,60.0,21.0,23.0,7.0,15
1970-01-01 00:00:00.000000131,17.0,52.0,16.0,11.0,17.0,14
1970-01-01 00:00:00.000000132,17.0,47.0,15.0,14.0,9.0,14
1970-01-01 00:00:00.000000133,14.0,63.0,13.0,19.0,11.0,8
1970-01-01 00:00:00.000000134,18.0,62.0,9.0,17.0,9.0,19
1970-01-01 00:00:00.000000135,22.0,43.0,10.0,21.0,14.0,12
1970-01-01 00:00:00.000000136,11.0,48.0,13.0,14.0,10.0,13
1970-01-01 00:00:00.000000137,27.0,48.0,9.0,7.0,11.0,26
1970-01-01 00:00:00.000000138,18.0,57.0,9.0,21.0,11.0,17
1970-01-01 00:00:00.000000139,11.0,50.0,12.0,16.0,10.0,17
1970-01-01 00:00:00.000000140,24.0,48.0,20.0,22.0,12.0,8
1970-01-01 00:00:00.000000141,21.0,57.0,9.0,17.0,12.0,26
1970-01-01 00:00:00.000000142,14.0,46.0,11.0,19.0,14.0,13
1970-01-01 00:00:00.000000143,20.0,63.0,14.0,16.0,9.0,15
1970-01-01 00:00:00.000000144,14.0,46.0,17.0,11.0,9.0,19
1970-01-01 00:00:00.000000145,17.0,65.0,11.0,16.0,13.0,16
1970-01-01 00:00:00.000000146,17.0,65.0,15.0,16.0,10.0,13
1970-01-01 00:00:00.000000147,18.0,51.0,13.0,16.0,10.0,11
1970-01-01 00:00:00.000000148,11.0,46.0,8.0,13.0,13.0,17
1970-01-01 00:00:00.000000149,15.0,62.0,18.0,26.0,15.0,10
1970-01-01 00:00:00.000000150,18.0,58.0,14.0,11.0,5.0,18
1970-01-01 00:00:00.000000151,12.0,52.0,13.0,14.0,13.0,10
1970-01-01 00:00:00.000000152,22.0,57.0,13.0,23.0,21.0,23
1970-01-01 00:00:00.000000153,20.0,47.0,16.0,7.0,19.0,14
1970-01-01 00:00:00.000000154,20.0,60.0,17.0,16.0,16.0,13
1970-01-01 00:00:00.000000155,16.0,50.0,9.0,20.0,7.0,18
1970-01-01 00:00:00.000000156,13.0,47.0,18.0,16.0,11.0,16
1970-01-01 00:00:00.000000157,12.0,49.0,16.0,20.0,9.0,10
1970-01-01 00:00:00.000000158,17.0,53.0,17.0,13.0,13.0,21
