date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/01/01 00:00:00+00,2019,1,1,chokepoint7,Cape of Good Hope,8,25,2,2,11,37,48,226523.706607203,1169945.58711527,17101.8242747638,5989.88195392231,429107.059297674,1419560.99995116,1848668.05924883,58441
2019/01/02 00:00:00+00,2019,1,2,chokepoint7,Cape of Good Hope,3,8,7,1,4,19,23,109301.491016704,437483.055339574,70329.5559318434,0,553937.194284197,617114.102288121,1171051.29657232,58442
2019/01/03 00:00:00+00,2019,1,3,chokepoint7,Cape of Good Hope,7,37,2,2,16,48,64,177908.240988808,2218651.77102773,36586.4694086427,13991.3734460007,1127282.72507948,2447137.85487118,3574420.57995066,58443
2019/04/03 00:00:00+00,2019,4,3,chokepoint7,Cape of Good Hope,6,25,1,1,12,33,45,226103.654484235,1579477.11231192,6040.83884017187,4109.22325593768,951847.528914053,1815730.82889226,2767578.35780632,58444
2019/01/04 00:00:00+00,2019,1,4,chokepoint7,Cape of Good Hope,7,21,1,1,11,30,41,166532.41178904,1173814.74265772,0,4762.571433277,515879.430614544,1345109.72588004,1860989.15649459,58445
2019/01/05 00:00:00+00,2019,1,5,chokepoint7,Cape of Good Hope,5,31,3,3,22,42,64,64718.1814650208,1737393.77307413,34136.4523586388,3772.66070939448,2008200.40885407,1840021.06760719,3848221.47646125,58446
2019/01/06 00:00:00+00,2019,1,6,chokepoint7,Cape of Good Hope,4,12,0,2,8,18,26,102893.825704835,750789.585557707,0,0,370394.490940739,853683.411262542,1224077.90220328,58447
2019/01/07 00:00:00+00,2019,1,7,chokepoint7,Cape of Good Hope,12,26,4,2,11,44,55,373706.923765951,1991913.79437403,25875.2362292631,0,390634.621782071,2391495.95436925,2782130.57615132,58448
2019/01/08 00:00:00+00,2019,1,8,chokepoint7,Cape of Good Hope,3,19,3,0,10,25,35,70243.2588597759,885405.612810692,4605.88569386421,0,444325.855170764,960254.757364332,1404580.6125351,58449
2019/01/09 00:00:00+00,2019,1,9,chokepoint7,Cape of Good Hope,11,40,2,1,15,54,69,248481.567600562,1993049.73881908,19370.3289653929,0,1423851.59498706,2260901.63538503,3684753.23037209,58450
2019/01/10 00:00:00+00,2019,1,10,chokepoint7,Cape of Good Hope,4,24,1,2,8,31,39,107748.037371961,1020089.83713131,1662.94997735414,10383.2435712948,483394.122794321,1139884.06805192,1623278.19084624,58451
2019/01/11 00:00:00+00,2019,1,11,chokepoint7,Cape of Good Hope,5,38,8,3,21,54,75,122252.210008709,2207349.39527993,86773.7329619925,6688.33035971853,1651975.27458851,2423063.66861035,4075038.94319886,58452
2019/01/12 00:00:00+00,2019,1,12,chokepoint7,Cape of Good Hope,4,12,3,1,8,20,28,37281.9537817492,707658.351593209,18814.120956676,2728.9960798376,347545.715242446,766483.422411472,1114029.13765392,58453
2019/01/13 00:00:00+00,2019,1,13,chokepoint7,Cape of Good Hope,6,29,2,0,16,37,53,318114.741216411,2597738.88459881,15345.0491891548,0,1247018.41682443,2931198.67500438,4178217.09182882,58454
2019/01/14 00:00:00+00,2019,1,14,chokepoint7,Cape of Good Hope,10,31,6,1,12,48,60,203507.470276319,2733419.49583288,75666.8207907648,4736.49800076288,1228634.03832562,3017330.28490072,4245964.32322634,58455
2019/01/15 00:00:00+00,2019,1,15,chokepoint7,Cape of Good Hope,4,23,3,3,10,33,43,73309.3386784483,1635362.60941717,29284.5940688405,13324.626556875,677794.526372069,1751281.16872133,2429075.6950934,58456
2019/01/16 00:00:00+00,2019,1,16,chokepoint7,Cape of Good Hope,10,30,2,2,16,44,60,247643.906515508,1354867.52279416,0,7053.81746641984,868942.839739932,1609565.24677608,2478508.08651601,58457
2019/01/17 00:00:00+00,2019,1,17,chokepoint7,Cape of Good Hope,5,10,1,1,12,17,29,129413.449510371,654399.770476263,36975.5072461289,11594.821224735,1016413.88898112,832383.548457498,1848797.43743862,58458
2019/01/18 00:00:00+00,2019,1,18,chokepoint7,Cape of Good Hope,5,22,1,4,10,32,42,82860.8137876423,840774.074846989,8772.006562848,17576.0961917428,1014995.42259908,949982.991389222,1964978.41398831,58459
2019/01/19 00:00:00+00,2019,1,19,chokepoint7,Cape of Good Hope,2,16,3,1,6,22,28,27126.9967793818,975860.944445304,34781.9688173,6652.84165182,733700.984829904,1044422.75169381,1778123.73652371,58460
2019/01/20 00:00:00+00,2019,1,20,chokepoint7,Cape of Good Hope,11,27,3,2,16,43,59,214601.003868442,1359435.39712929,24484.381871642,0,752134.690971257,1598520.78286938,2350655.47384063,58461
2019/01/21 00:00:00+00,2019,1,21,chokepoint7,Cape of Good Hope,6,20,3,2,14,31,45,264361.639089412,1148962.74342476,20748.831120638,8923.18333563,615957.103044598,1442996.39697044,2058953.50001504,58462
2019/01/22 00:00:00+00,2019,1,22,chokepoint7,Cape of Good Hope,5,20,1,2,11,28,39,124821.702235048,1226564.59907213,2096.967516065,0,1666778.50484593,1353483.26882324,3020261.77366917,58463
2019/01/23 00:00:00+00,2019,1,23,chokepoint7,Cape of Good Hope,11,20,1,0,12,32,44,491138.070138116,1091057.13642312,1911.831547626,0,530383.286294312,1584107.03810886,2114490.32440317,58464
2019/01/24 00:00:00+00,2019,1,24,chokepoint7,Cape of Good Hope,2,22,0,1,12,25,37,9957.33629463247,1209923.70249285,0,0,769021.14904446,1219881.03878748,1988902.18783194,58465
2019/01/25 00:00:00+00,2019,1,25,chokepoint7,Cape of Good Hope,8,22,3,0,12,33,45,98757.0838085151,1208414.91739162,7915.42028934978,0,516535.062160319,1315087.42148948,1831622.4836498,58466
2019/01/26 00:00:00+00,2019,1,26,chokepoint7,Cape of Good Hope,5,27,3,1,6,36,42,133148.455212865,1675768.44768608,24789.4190259263,2183.84501772029,648508.339137912,1835890.16694259,2484398.5060805,58467
2019/01/27 00:00:00+00,2019,1,27,chokepoint7,Cape of Good Hope,6,32,4,1,18,43,61,146520.090316341,1764901.42874429,35784.5856659701,0,1804652.31209098,1947206.1047266,3751858.41681758,58468
2019/01/28 00:00:00+00,2019,1,28,chokepoint7,Cape of Good Hope,8,31,4,2,10,45,55,258590.14690162,2311610.55291764,34544.656634766,4991.86533306869,1038470.81592492,2609737.2217871,3648208.03771202,58469
2019/01/29 00:00:00+00,2019,1,29,chokepoint7,Cape of Good Hope,7,28,2,1,9,38,47,224552.268436763,1450575.91010545,15317.8715275181,0,477559.636420164,1690446.05006973,2168005.68648989,58470
2019/01/30 00:00:00+00,2019,1,30,chokepoint7,Cape of Good Hope,4,35,2,3,15,44,59,155005.716125359,1420954.5278685,23099.9920920437,2908.82427229025,1115177.89643613,1601969.0603582,2717146.95679432,58471
2019/01/31 00:00:00+00,2019,1,31,chokepoint7,Cape of Good Hope,4,24,2,0,10,30,40,76914.4246427738,1324466.70847721,12769.6178005686,0,626876.334349188,1414150.75092055,2041027.08526974,58472
