arrival_date,Bulk Carrier,Car Carrier,Container Ships,General Cargo,LNG Ships,Passenger Ships,RoRo,Tankers
2019-01-31,6963.883,1495.883,28793.321,606.471,1794.49,161.161,181.697,11408.733
2019-02-28,6185.218,1490.08,26246.266,605.176,1651.662,16.682,209.126,9863.092
2019-03-31,6838.529,1590.769,26794.797,732.808,1950.328,357.4,138.759,11199.683
2019-04-30,7094.617,1822.327,27101.207,773.558,2023.051,931.108,183.118,10429.311
2019-05-31,7026.793,1351.084,28680.78,693.926,2744.543,263.875,180.544,11048.018
2019-06-30,6659.547,1523.657,27769.732,799.27,2628.142,58.608,180.875,10717.393
2019-07-31,9367.089,1541.513,29115.685,819.284,2875.682,4.484,180.731,10407.539
2019-08-31,9803.249,1621.347,29502.799,799.272,2592.437,37.559,204.797,10133.156
2019-09-30,9391.971,1273.255,27426.646,520.96,2431.592,12.952,112.148,10785.807
2019-10-31,10262.354,1681.803,28918.122,617.443,2312.396,368.145,219.809,12801.826
2019-11-30,9020.718,1474.72,25654.452,745.83,2352.08,588.393,183.216,13402.797
2019-12-31,9344.206,1437.325,26316.493,702.251,2038.354,58.858,183.166,13130.522
