arrival_date,Bulk Carrier,Containership,Crude Oil Tanker,Exclude,LNG,LPG,Product Tanker
2023-11-06,138.0,119.0,70.0,79.0,3.0,20.0,40.0
2023-11-13,160.0,124.0,92.0,78.0,16.0,18.0,63.0
2023-11-20,144.0,144.0,78.0,72.0,20.0,24.0,47.0
2023-11-27,169.0,118.0,107.0,69.0,15.0,23.0,61.0
2023-12-04,167.0,108.0,80.0,75.0,19.0,40.0,57.0
2023-12-11,148.0,99.0,98.0,58.0,18.0,20.0,58.0
2023-12-18,157.0,79.0,93.0,73.0,17.0,25.0,60.0
2023-12-25,157.0,25.0,82.0,70.0,16.0,17.0,39.0
2024-01-01,134.0,29.0,65.0,44.0,11.0,11.0,56.0
2024-01-08,134.0,31.0,77.0,46.0,13.0,8.0,27.0
2024-01-15,122.0,25.0,52.0,42.0,3.0,5.0,24.0
2024-01-22,120.0,26.0,68.0,34.0,1.0,2.0,27.0
2024-01-29,91.0,25.0,56.0,37.0,,1.0,24.0
2024-02-05,90.0,28.0,45.0,50.0,,5.0,29.0
2024-02-12,98.0,26.0,45.0,28.0,,2.0,19.0
2024-02-19,92.0,38.0,56.0,43.0,,3.0,23.0
2024-02-26,87.0,26.0,75.0,42.0,,3.0,23.0
2024-03-04,84.0,30.0,53.0,40.0,,3.0,32.0
2024-03-11,64.0,32.0,52.0,32.0,,3.0,30.0
2024-03-18,74.0,33.0,56.0,44.0,,3.0,23.0
2024-03-25,80.0,25.0,55.0,36.0,,6.0,22.0
2024-04-01,62.0,31.0,53.0,27.0,,3.0,24.0
