Date,Total,Bulkcarriers,Containerships,Oil Tankers
28-Jan-16,78.51,49.56,89.88,76.19
29-Jan-16,78.78,48.77,89.88,76.56
30-Jan-16,79.11,50.09,89.63,76.56
31-Jan-16,79.64,49.3,92.79,75.82
01-Feb-16,80.51,48.77,94.25,76.19
02-Feb-16,80.25,47.72,95.22,78.79
03-Feb-16,79.91,46.66,94.49,78.05
04-Feb-16,79.64,47.45,94.73,77.3
05-Feb-16,79.71,46.93,95.95,75.82
06-Feb-16,79.24,45.61,96.43,75.07
07-Feb-16,79.38,46.4,97.16,73.96
08-Feb-16,79.31,45.87,96.19,75.44
09-Feb-16,79.84,47.19,94.73,76.93
10-Feb-16,80.11,45.87,95.95,78.79
11-Feb-16,80.38,46.14,96.68,79.53
12-Feb-16,80.18,46.14,96.92,79.9
13-Feb-16,79.18,44.55,96.43,79.9
14-Feb-16,79.31,45.87,95.46,82.13
15-Feb-16,80.58,47.19,96.92,83.62
16-Feb-16,79.71,47.19,94.25,86.22
17-Feb-16,80.25,48.25,94.49,85.48
18-Feb-16,80.78,47.98,94.73,84.36
19-Feb-16,81.05,48.25,95.22,84.36
20-Feb-16,80.31,45.87,95.46,83.25
21-Feb-16,79.98,46.14,95.22,81.39
22-Feb-16,80.05,47.19,94.73,78.79
23-Feb-16,80.91,47.45,98.62,77.3
24-Feb-16,79.78,47.19,97.41,74.7
25-Feb-16,79.98,47.72,98.62,74.33
26-Feb-16,80.38,47.98,100.32,75.07
27-Feb-16,79.71,45.87,100.56,76.19
28-Feb-16,80.25,46.66,99.84,77.3
29-Feb-16,78.91,46.14,98.86,75.44
01-Mar-16,79.24,47.19,98.38,73.59
02-Mar-16,79.51,47.98,98.14,73.59
03-Mar-16,79.24,48.51,97.89,71.73
04-Mar-16,79.64,48.25,98.38,72.47
05-Mar-16,80.65,50.35,97.89,73.96
06-Mar-16,81.11,50.88,97.65,75.07
07-Mar-16,80.58,51.67,97.89,71.73
08-Mar-16,80.91,52.46,98.62,70.61
09-Mar-16,80.11,54.05,97.16,68.38
10-Mar-16,80.18,54.05,97.65,68.01
11-Mar-16,79.64,53.25,95.95,68.75
12-Mar-16,80.31,54.05,95.46,69.13
13-Mar-16,80.11,52.99,95.22,66.52
14-Mar-16,79.71,52.2,95.22,65.41
15-Mar-16,81.25,53.25,96.19,64.67
16-Mar-16,80.58,52.2,95.46,65.78
17-Mar-16,79.98,51.94,94.49,68.75
18-Mar-16,79.98,51.41,94.98,68.75
19-Mar-16,80.71,51.94,95.71,69.87
20-Mar-16,80.71,51.94,94.49,68.38
21-Mar-16,80.98,52.46,94.98,70.61
22-Mar-16,79.71,52.2,89.88,69.5
23-Mar-16,80.85,52.99,92.79,70.98
24-Mar-16,80.51,53.25,91.09,71.36
25-Mar-16,80.05,52.2,89.63,71.73
26-Mar-16,80.45,53.52,89.39,70.98
27-Mar-16,79.38,52.99,90.36,68.38
28-Mar-16,79.51,52.73,89.88,69.5
29-Mar-16,79.04,51.67,89.63,70.24
30-Mar-16,79.38,51.41,90.12,70.24
31-Mar-16,80.58,52.2,91.58,71.36
01-Apr-16,79.58,51.67,90.12,71.73
02-Apr-16,78.84,51.15,89.15,70.61
03-Apr-16,77.97,51.15,87.69,70.24
04-Apr-16,78.44,52.2,88.18,70.24
05-Apr-16,77.11,51.41,87.69,69.5
06-Apr-16,77.77,49.56,88.66,70.24
07-Apr-16,77.64,50.88,87.93,69.87
08-Apr-16,78.04,51.15,89.39,67.64
09-Apr-16,77.64,50.35,90.36,65.78
10-Apr-16,78.11,51.41,91.09,66.52
11-Apr-16,79.58,53.52,91.33,66.52
12-Apr-16,78.44,51.67,91.33,67.27
13-Apr-16,78.44,51.94,90.36,67.27
14-Apr-16,78.44,51.67,92.79,64.29
15-Apr-16,77.64,51.41,91.33,62.44
16-Apr-16,77.97,52.46,90.36,62.06
17-Apr-16,78.64,52.73,91.09,63.92
18-Apr-16,78.11,52.46,90.85,62.81
19-Apr-16,77.24,51.67,90.61,62.44
20-Apr-16,77.44,51.67,90.36,62.06
21-Apr-16,78.11,50.09,91.09,62.81
22-Apr-16,78.17,49.56,92.31,62.06
23-Apr-16,77.64,48.25,92.06,63.18
24-Apr-16,78.71,47.72,91.33,65.41
25-Apr-16,79.51,48.25,92.79,65.41
26-Apr-16,80.31,49.04,94.25,64.67
27-Apr-16,79.98,50.09,93.28,65.78
28-Apr-16,79.31,49.3,92.31,65.04
29-Apr-16,79.11,49.3,91.33,63.55
30-Apr-16,79.78,47.98,94.01,64.67
01-May-16,79.98,47.72,95.46,64.67
02-May-16,79.58,45.61,94.98,65.78
03-May-16,80.38,45.87,95.46,68.38
04-May-16,80.91,47.98,95.46,68.38
05-May-16,81.18,46.93,97.41,68.38
06-May-16,81.25,47.72,97.16,67.27
07-May-16,81.58,48.77,96.68,68.75
08-May-16,81.38,48.25,97.65,67.27
09-May-16,80.11,46.14,96.92,67.64
10-May-16,80.45,47.45,96.92,66.52
11-May-16,80.38,46.4,98.38,66.15
12-May-16,81.05,47.72,98.14,66.9
13-May-16,81.65,47.98,99.35,68.75
14-May-16,80.71,46.4,99.35,67.27
15-May-16,80.11,46.4,99.11,66.9
16-May-16,80.98,46.4,99.35,65.78
17-May-16,81.38,46.14,100.32,67.27
18-May-16,81.11,45.35,101.05,66.9
19-May-16,80.31,45.08,101.78,65.04
20-May-16,79.98,46.66,100.32,65.04
21-May-16,80.05,47.19,100.81,63.55
22-May-16,79.11,47.19,100.32,63.18
23-May-16,78.91,46.93,100.32,62.06
24-May-16,78.78,46.66,98.62,64.67
25-May-16,78.84,46.4,99.59,63.92
26-May-16,78.91,46.14,100.08,64.29
27-May-16,79.71,47.19,101.54,64.67
28-May-16,79.38,47.98,100.81,63.18
29-May-16,79.31,47.72,101.54,62.81
30-May-16,79.64,47.72,101.78,62.81
31-May-16,79.31,46.4,101.29,62.81
01-Jun-16,78.64,45.35,101.29,62.44
02-Jun-16,78.17,44.82,101.78,60.58
03-Jun-16,77.84,44.29,101.29,62.44
04-Jun-16,77.64,44.03,101.78,60.95
05-Jun-16,78.24,44.29,100.56,62.44
06-Jun-16,78.24,44.82,101.05,63.18
07-Jun-16,77.77,42.97,101.78,63.92
08-Jun-16,78.44,43.76,102.02,64.29
09-Jun-16,77.31,42.71,100.81,63.92
10-Jun-16,77.44,42.71,100.56,65.04
11-Jun-16,77.71,42.97,100.81,66.9
12-Jun-16,78.24,43.24,101.29,68.01
13-Jun-16,77.64,42.97,100.81,69.13
14-Jun-16,77.51,41.92,101.54,68.38
15-Jun-16,77.84,42.97,100.56,68.38
16-Jun-16,78.24,45.08,99.84,68.38
17-Jun-16,78.24,44.55,99.84,67.64
18-Jun-16,78.37,45.61,99.11,67.64
19-Jun-16,78.04,45.61,98.86,66.9
20-Jun-16,78.17,46.4,98.86,67.27
21-Jun-16,77.97,46.4,99.35,66.15
22-Jun-16,77.77,45.08,99.84,64.67
23-Jun-16,77.51,45.35,99.35,66.15
24-Jun-16,76.84,44.03,99.35,67.27
25-Jun-16,76.64,43.5,98.86,66.9
26-Jun-16,77.24,43.24,98.14,67.64
27-Jun-16,77.44,44.82,98.14,67.64
28-Jun-16,77.97,46.14,98.86,67.27
29-Jun-16,78.24,47.19,97.16,68.38
30-Jun-16,78.51,47.45,96.19,69.13
01-Jul-16,78.44,46.66,97.89,68.75
02-Jul-16,78.78,47.72,97.65,69.13
03-Jul-16,78.44,47.72,98.38,69.5
04-Jul-16,78.91,47.19,98.38,70.98
05-Jul-16,78.71,47.72,99.84,68.75
06-Jul-16,77.77,48.25,96.92,68.75
07-Jul-16,78.91,51.15,97.16,69.87
08-Jul-16,78.24,50.35,96.68,68.75
09-Jul-16,77.97,50.35,96.68,68.38
10-Jul-16,78.17,51.15,96.19,67.64
11-Jul-16,77.91,50.62,96.68,68.75
12-Jul-16,78.04,51.67,97.65,68.38
13-Jul-16,78.04,52.99,97.16,68.01
14-Jul-16,78.04,53.78,96.19,68.38
15-Jul-16,78.91,54.57,96.19,69.87
16-Jul-16,79.31,53.25,96.92,72.1
17-Jul-16,79.84,54.05,98.14,72.84
18-Jul-16,79.24,53.25,97.65,72.47
19-Jul-16,79.44,54.05,97.16,70.98
20-Jul-16,79.91,56.15,96.68,73.59
21-Jul-16,80.05,55.36,98.86,72.47
22-Jul-16,80.71,55.36,99.11,72.47
23-Jul-16,80.91,55.1,99.84,73.59
24-Jul-16,79.78,54.57,99.84,70.98
25-Jul-16,80.05,56.68,99.59,69.87
26-Jul-16,80.11,56.95,100.56,69.87
27-Jul-16,79.78,56.15,100.56,68.75
28-Jul-16,79.84,57.74,99.59,69.87
29-Jul-16,80.58,59.05,99.84,68.75
30-Jul-16,80.38,60.37,99.59,68.38
31-Jul-16,79.78,60.9,99.11,66.9
01-Aug-16,79.58,62.22,98.86,65.41
02-Aug-16,80.85,64.33,98.14,69.13
03-Aug-16,81.85,64.59,99.35,70.98
04-Aug-16,80.45,61.16,99.84,69.13
05-Aug-16,81.85,65.38,99.35,69.87
06-Aug-16,81.18,65.12,100.56,69.13
07-Aug-16,80.98,65.38,100.32,68.75
08-Aug-16,81.25,66.44,100.08,67.64
09-Aug-16,81.58,67.49,98.86,68.38
10-Aug-16,80.85,66.17,98.14,68.38
11-Aug-16,81.25,66.7,99.11,68.75
12-Aug-16,81.05,66.7,99.59,68.38
13-Aug-16,81.38,68.81,99.84,66.9
14-Aug-16,82.05,70.13,99.11,68.38
15-Aug-16,82.78,69.86,99.84,70.24
16-Aug-16,81.98,69.6,99.11,70.61
17-Aug-16,81.78,69.07,97.89,69.5
18-Aug-16,81.78,68.55,96.92,70.24
19-Aug-16,82.25,69.6,98.38,70.24
20-Aug-16,82.52,71.18,96.68,70.24
21-Aug-16,83.19,71.71,97.89,71.36
22-Aug-16,82.72,69.6,97.65,70.98
23-Aug-16,82.38,71.18,95.95,69.13
24-Aug-16,82.18,70.13,97.41,69.87
25-Aug-16,82.18,70.92,96.92,69.87
26-Aug-16,82.05,70.65,97.41,69.87
27-Aug-16,82.32,69.07,98.86,69.87
28-Aug-16,83.39,71.18,99.35,70.24
29-Aug-16,83.52,69.6,98.86,69.87
30-Aug-16,83.39,71.18,98.14,68.01
31-Aug-16,83.25,71.45,98.14,67.27
01-Sep-16,84.52,74.61,98.14,69.5
02-Sep-16,83.99,72.76,98.62,69.13
03-Sep-16,85.39,74.61,98.86,69.13
04-Sep-16,85.32,73.82,99.11,69.5
05-Sep-16,84.86,73.03,98.86,69.13
06-Sep-16,84.72,73.03,98.38,67.64
07-Sep-16,85.12,72.24,99.35,68.75
08-Sep-16,84.25,69.86,98.62,70.24
09-Sep-16,84.59,70.92,97.65,71.36
10-Sep-16,84.32,70.65,97.65,70.98
11-Sep-16,84.05,69.34,97.16,70.61
12-Sep-16,84.25,70.13,96.19,70.98
13-Sep-16,85.39,70.92,95.71,72.84
14-Sep-16,85.86,72.5,97.65,72.1
15-Sep-16,86.26,73.03,97.16,72.1
16-Sep-16,85.93,72.24,96.19,71.73
17-Sep-16,85.39,72.24,97.16,71.36
18-Sep-16,85.46,73.03,95.71,72.84
19-Sep-16,85.46,73.55,95.46,74.7
20-Sep-16,85.39,72.24,95.95,75.07
21-Sep-16,85.99,75.14,95.46,73.96
22-Sep-16,85.93,74.61,95.22,73.96
23-Sep-16,85.46,74.08,95.46,73.96
24-Sep-16,84.86,73.55,93.76,74.7
25-Sep-16,84.52,72.5,93.28,75.82
26-Sep-16,83.65,72.5,93.28,76.56
27-Sep-16,82.45,68.02,92.06,74.33
28-Sep-16,82.58,67.49,92.79,73.96
29-Sep-16,81.72,64.06,92.79,74.7
30-Sep-16,81.18,62.75,93.76,73.96
01-Oct-16,80.25,62.48,91.33,75.07
02-Oct-16,80.65,64.59,90.36,74.7
03-Oct-16,81.11,64.33,91.09,77.67
04-Oct-16,81.25,64.59,90.61,79.53
05-Oct-16,81.25,65.91,89.15,79.53
06-Oct-16,81.78,65.65,91.09,77.3
07-Oct-16,81.18,65.12,92.31,74.7
08-Oct-16,81.52,63.8,93.03,75.07
09-Oct-16,81.38,64.33,93.52,73.96
10-Oct-16,80.78,63.54,93.28,74.33
11-Oct-16,80.18,64.59,94.73,71.73
12-Oct-16,79.78,61.95,92.31,73.59
13-Oct-16,79.44,61.16,93.03,72.84
14-Oct-16,79.64,60.9,92.55,73.59
15-Oct-16,79.71,59.85,92.06,73.21
16-Oct-16,79.58,59.58,91.82,70.98
17-Oct-16,79.98,59.58,92.79,69.87
18-Oct-16,80.38,59.32,93.28,70.61
19-Oct-16,80.51,58.53,91.58,71.73
20-Oct-16,80.71,56.95,93.52,70.98
21-Oct-16,80.71,57.47,92.55,70.61
22-Oct-16,80.71,56.95,93.03,70.24
23-Oct-16,80.11,56.15,93.76,68.75
24-Oct-16,81.05,56.68,94.01,68.75
25-Oct-16,81.85,59.58,94.49,72.1
26-Oct-16,81.58,59.58,94.01,71.73
27-Oct-16,81.72,61.43,93.03,69.87
28-Oct-16,82.05,61.95,92.06,70.98
29-Oct-16,82.45,61.95,92.06,70.24
30-Oct-16,82.25,60.64,93.03,71.36
31-Oct-16,81.65,59.58,92.55,68.01
01-Nov-16,81.38,57.21,93.03,68.01
02-Nov-16,81.85,56.15,94.01,68.38
03-Nov-16,81.58,56.42,92.55,69.5
04-Nov-16,81.72,56.68,91.82,69.5
05-Nov-16,81.05,55.89,91.09,69.5
06-Nov-16,80.85,55.63,90.36,69.5
07-Nov-16,80.51,56.68,90.36,67.64
08-Nov-16,80.45,55.1,89.63,68.75
09-Nov-16,80.25,55.89,90.61,67.64
10-Nov-16,81.05,59.58,88.66,68.01
11-Nov-16,81.72,60.37,90.36,68.38
12-Nov-16,81.78,60.9,89.88,69.13
13-Nov-16,81.45,60.64,90.61,70.24
14-Nov-16,80.71,58.53,89.63,69.87
15-Nov-16,80.25,59.58,89.63,69.5
16-Nov-16,79.84,58.26,91.09,70.24
17-Nov-16,78.84,57.74,89.39,69.5
18-Nov-16,79.04,56.68,90.12,71.36
19-Nov-16,79.38,57.74,89.39,70.24
20-Nov-16,79.64,58.53,88.42,71.36
21-Nov-16,80.11,60.37,89.15,71.73
22-Nov-16,79.31,58.79,87.93,70.98
23-Nov-16,79.24,58.26,88.18,70.98
24-Nov-16,79.44,56.68,86.96,70.98
25-Nov-16,79.24,56.68,86.23,70.61
26-Nov-16,79.18,55.36,87.93,72.1
27-Nov-16,78.91,54.84,87.2,71.73
28-Nov-16,79.64,56.95,87.69,72.47
29-Nov-16,79.91,59.05,88.18,72.1
30-Nov-16,79.64,60.9,87.45,71.73
01-Dec-16,79.38,61.95,86.96,71.36
02-Dec-16,79.51,60.9,87.69,73.96
03-Dec-16,80.38,63.54,86.96,75.82
04-Dec-16,80.31,62.48,87.45,76.19
05-Dec-16,80.38,62.48,88.66,75.07
06-Dec-16,80.11,63.01,88.66,75.07
07-Dec-16,80.11,63.01,87.93,75.82
08-Dec-16,79.58,60.64,88.66,76.56
09-Dec-16,79.11,61.69,87.45,75.82
10-Dec-16,79.24,61.16,88.18,75.07
11-Dec-16,79.98,63.01,87.93,74.33
12-Dec-16,80.18,64.06,89.15,75.07
13-Dec-16,79.51,61.43,88.18,75.07
14-Dec-16,78.98,62.22,88.66,72.84
15-Dec-16,78.78,63.54,86.72,73.96
16-Dec-16,79.98,66.17,86.96,73.59
17-Dec-16,79.98,65.12,87.2,76.56
18-Dec-16,80.18,64.33,87.69,75.82
19-Dec-16,79.51,61.95,87.93,74.33
20-Dec-16,79.58,62.75,89.15,72.84
21-Dec-16,79.24,64.06,87.93,72.1
22-Dec-16,78.71,64.59,89.39,71.36
23-Dec-16,79.04,63.8,90.61,72.1
24-Dec-16,78.84,63.27,90.61,72.47
25-Dec-16,79.64,64.06,92.31,72.84
26-Dec-16,79.11,63.01,91.33,74.33
27-Dec-16,79.24,63.27,91.09,74.33
28-Dec-16,79.71,64.06,91.09,74.33
29-Dec-16,80.51,64.33,92.31,73.59
30-Dec-16,80.38,63.8,92.31,73.21
31-Dec-16,80.05,63.8,92.06,71.73
01-Jan-17,80.58,65.38,92.55,71.73
02-Jan-17,80.85,65.38,92.31,72.47
03-Jan-17,81.78,66.44,91.82,73.59
04-Jan-17,81.38,65.38,93.28,72.84
