arrival_date,transit_per_arrival_day,complete_transit_per_arrival_day,complete_transit_dwell_time,complete_transit_idle_time
2021-03-01,117,91,20.525,6.8325
2021-03-02,49,44,29.300416666666667,13.614444444444452
2021-03-03,56,52,27.06513888888889,11.646527777777777
2021-03-04,53,49,28.22972222222222,11.860833333333336
2021-03-05,46,41,27.99138888888889,12.349166666666665
2021-03-06,59,53,26.49972222222222,11.432222222222222
2021-03-07,56,53,25.79611111111111,11.855
2021-03-08,60,55,26.239722222222223,10.325555555555555
2021-03-09,60,56,27.542499999999997,12.671388888888888
2021-03-10,55,51,25.819166666666668,10.42222222222222
2021-03-11,58,55,25.375833333333333,9.969999999999997
2021-03-12,44,42,27.848888888888887,13.088333333333331
2021-03-13,59,56,24.263194444444444,10.090277777777782
2021-03-14,47,44,28.78611111111111,14.109999999999992
2021-03-15,45,43,26.404444444444444,10.039166666666668
2021-03-16,61,54,28.5625,12.509444444444446
2021-03-17,36,36,25.45722222222222,11.336388888888884
2021-03-18,44,40,26.039027777777775,10.348472222222222
2021-03-19,61,54,27.043194444444445,11.906944444444447
2021-03-20,52,50,26.186805555555555,10.625277777777779
2021-03-21,46,43,26.650277777777777,11.152222222222221
2021-03-22,44,31,174.07194444444445,158.82333333333338
2021-03-23,47,40,196.72208333333333,176.98388888888783
2021-03-24,44,41,171.34055555555557,155.59499999999974
2021-03-25,38,37,172.15555555555557,155.86249999999953
2021-03-26,17,16,148.29083333333335,131.6858333333332
2021-03-27,11,10,125.61972222222222,110.4358333333333
2021-03-28,26,17,109.63888888888889,92.86611111111122
2021-03-29,32,19,105.59444444444445,91.67750000000014
2021-03-30,44,30,91.51597222222222,80.00166666666668
2021-03-31,67,59,78.17166666666667,62.392499999999984
2021-04-01,71,66,80.10388888888889,65.44305555555562
2021-04-02,72,66,41.25263888888889,26.93291666666667
2021-04-03,72,66,55.931805555555556,45.9840277777778
2021-04-04,66,60,60.865,47.08125
2021-04-05,55,54,57.56916666666666,41.78694444444444
2021-04-06,49,46,58.03861111111111,42.63444444444448
2021-04-07,51,51,52.240833333333335,29.998888888888896
2021-04-08,64,58,33.343333333333334,17.39583333333334
2021-04-09,49,45,29.299166666666668,14.056944444444444
2021-04-10,52,43,27.108333333333334,12.30722222222221
2021-04-11,46,42,25.24361111111111,11.177638888888888
2021-04-12,44,36,25.11680555555556,10.735694444444444
2021-04-13,47,45,24.85638888888889,10.821111111111112
2021-04-14,47,46,24.741527777777776,11.089444444444446
2021-04-15,41,38,26.088055555555556,11.299999999999997
2021-04-16,54,51,28.85361111111111,10.918611111111112
2021-04-17,42,41,27.189166666666665,11.825555555555551
2021-04-18,49,46,25.310138888888886,10.780833333333334
2021-04-19,53,53,24.555833333333332,9.40277777777778
2021-04-20,49,45,24.771944444444443,10.484444444444446
2021-04-21,58,54,26.734722222222224,11.060555555555554
2021-04-22,48,46,27.022916666666667,12.643194444444443
2021-04-23,54,51,27.01638888888889,12.36111111111111
2021-04-24,54,51,26.225555555555555,12.173333333333336
2021-04-25,56,51,25.90138888888889,11.834444444444442
2021-04-26,51,46,23.227777777777778,8.605972222222224
2021-04-27,36,34,24.719583333333333,9.607500000000002
2021-04-28,50,48,25.60875,9.994166666666668
2021-04-29,40,38,24.288333333333334,9.949305555555558
2021-04-30,5,4,13.090972222222222,1.4740277777777777
