arrival_date,Bulk Carrier,Car Carrier,Container Ships,General Cargo,LNG Ships,Passenger Ships,RoRo,Tankers
2019-01-31,293,70,465,108,52,12,21,437
2019-02-28,262,72,430,103,46,8,21,369
2019-03-31,298,75,434,119,52,10,21,455
2019-04-30,305,85,446,128,51,18,19,389
2019-05-31,302,64,456,127,70,12,18,405
2019-06-30,275,74,444,142,68,2,19,390
2019-07-31,357,73,466,136,74,1,18,374
2019-08-31,405,80,470,146,69,1,23,400
2019-09-30,399,60,438,95,62,2,14,408
2019-10-31,428,80,444,114,60,14,23,478
2019-11-30,369,71,403,139,66,18,20,440
2019-12-31,380,70,417,136,59,6,20,456
