Date,Vessel Type,Status,Transit Count,Net Tonnage
01/01/2019,Tankers,Laden,352,14822
01/01/2019,LNG Ships,Laden,25,2729
01/01/2019,Bulk Carrier,Laden,247,9319
01/01/2019,General Cargo,Laden,111,1169
01/01/2019,Container Ships,Laden,451,52645
01/01/2019,RoRo,Laden,15,459
01/01/2019,Car Carrier,Laden,68,4372
01/01/2019,Passenger Ships,Laden,10,248
01/01/2019,Others,Laden,30,264
01/01/2019,Tankers,Ballast,98,5292
01/01/2019,LNG Ships,Ballast,22,2323
01/01/2019,Bulk Carrier,Ballast,60,2118
01/01/2019,General Cargo,Ballast,14,148
01/01/2019,Container Ships,Ballast,7,225
01/01/2019,RoRo,Ballast,1,8
01/01/2019,Car Carrier,Ballast,2,98
01/01/2019,Passenger Ships,Ballast,1,1
01/01/2019,Others,Ballast,2,10
01/02/2019,Tankers,Laden,315,13695
01/02/2019,LNG Ships,Laden,25,2720
01/02/2019,Bulk Carrier,Laden,223,8241
01/02/2019,General Cargo,Laden,85,1045
01/02/2019,Container Ships,Laden,433,50197
01/02/2019,RoRo,Laden,12,361
01/02/2019,Car Carrier,Laden,68,4300
01/02/2019,Passenger Ships,Laden,8,70
01/02/2019,Others,Laden,27,182
01/02/2019,Tankers,Ballast,62,3629
01/02/2019,LNG Ships,Ballast,18,1972
01/02/2019,Bulk Carrier,Ballast,41,1500
01/02/2019,General Cargo,Ballast,18,167
01/02/2019,Container Ships,Ballast,4,175
01/02/2019,RoRo,Ballast,3,89
01/02/2019,Car Carrier,Ballast,2,65
01/02/2019,Passenger Ships,Ballast,1,1
01/02/2019,Others,Ballast,8,140
01/03/2019,Tankers,Laden,383,15710
01/03/2019,LNG Ships,Laden,35,3944
01/03/2019,Bulk Carrier,Laden,273,9914
01/03/2019,General Cargo,Laden,109,1241
01/03/2019,Container Ships,Laden,442,51796
01/03/2019,RoRo,Laden,23,586
01/03/2019,Car Carrier,Laden,72,4609
01/03/2019,Passenger Ships,Laden,9,674
01/03/2019,Others,Laden,57,403
01/03/2019,Tankers,Ballast,94,4401
01/03/2019,LNG Ships,Ballast,22,2468
