date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/04/09 00:00:00+00,2019,4,9,chokepoint2,Panama Canal,8,6,1,3,15,18,33,461732.706545674,242541.696215781,24030.5333333333,75429.8707404409,815474.335733552,803734.806835229,1619209.14256878,21601
2019/05/29 00:00:00+00,2019,5,29,chokepoint2,Panama Canal,11,9,4,4,8,28,36,611237.697136919,397398.294040989,35242.5780387755,81583.7834144237,301580.391996563,1125462.35263111,1427042.74462767,21604
2019/04/10 00:00:00+00,2019,4,10,chokepoint2,Panama Canal,11,7,0,1,14,19,33,524892.388424486,327097.347705148,0,16150.0705882353,592256.015205447,868139.806717869,1460395.82192332,21605
2019/05/30 00:00:00+00,2019,5,30,chokepoint2,Panama Canal,8,3,0,5,18,16,34,545456.52279017,106731.726744186,0,108807.325820963,737134.785559583,760995.575355319,1498130.3609149,21607
2019/04/11 00:00:00+00,2019,4,11,chokepoint2,Panama Canal,9,7,6,5,7,27,34,631377.81593289,350784.208311089,93539.2367812901,95467.2300830933,246503.341175805,1171168.49110836,1417671.83228417,21608
2019/05/31 00:00:00+00,2019,5,31,chokepoint2,Panama Canal,12,4,3,1,14,20,34,849852.775820055,123154.04714007,60411.7691306571,15548.0315789474,579535.585496117,1048966.62366973,1628502.20916585,21610
2019/04/12 00:00:00+00,2019,4,12,chokepoint2,Panama Canal,10,5,3,1,11,19,30,759739.345173514,273234.721540888,58627.0462071697,16560,379137.58803622,1108161.11292157,1487298.70095779,21611
2019/06/01 00:00:00+00,2019,6,1,chokepoint2,Panama Canal,4,7,3,5,13,19,32,252789.200434914,333016.602648376,74631.2420807905,98455.8402370568,541336.300323063,758892.885401137,1300229.1857242,21613
2019/04/13 00:00:00+00,2019,4,13,chokepoint2,Panama Canal,11,10,1,2,13,24,37,742380.267233084,554096.9934658,10815.6666666667,34216.8151595745,702712.32393626,1341509.74252512,2044222.06646138,21614
2019/06/02 00:00:00+00,2019,6,2,chokepoint2,Panama Canal,12,5,4,1,13,22,35,843197.548965762,167616.597217024,62153.1311128628,20146,796213.653972833,1093113.27729565,1889326.93126848,21616
