date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/04/29 00:00:00+00,2019,4,29,chokepoint4,Bab el-Mandeb Strait,16,10,4,3,17,33,50,1410771.16351637,392501.158027155,29389.3121918104,11256.3365316957,540692.941170885,1843917.97026703,2384610.91143792,51201
2019/04/30 00:00:00+00,2019,4,30,chokepoint4,Bab el-Mandeb Strait,14,10,6,1,14,31,45,1022661.76663882,579299.277941089,31248.5765872214,0,605916.167354074,1633209.62116713,2239125.7885212,51202
2019/05/01 00:00:00+00,2019,5,1,chokepoint4,Bab el-Mandeb Strait,15,10,3,4,19,32,51,743705.21753158,519400.731330935,12782.0975203608,21911.405366169,1191909.81248053,1297799.45174905,2489709.26422958,51203
2019/05/02 00:00:00+00,2019,5,2,chokepoint4,Bab el-Mandeb Strait,17,12,6,3,12,38,50,1034035.96208005,596839.410215907,32212.5780366923,16998.9399456079,709593.385104487,1680086.89027826,2389680.27538275,51204
2019/05/03 00:00:00+00,2019,5,3,chokepoint4,Bab el-Mandeb Strait,14,11,2,4,18,31,49,1010862.16513026,668899.046556692,6029.339410315,9188.2054800046,1312611.59717233,1694978.75657728,3007590.3537496,51205
2019/05/04 00:00:00+00,2019,5,4,chokepoint4,Bab el-Mandeb Strait,23,13,5,3,12,44,56,1386860.94201522,724352.526164411,20133.9205741528,7177.41129141898,642661.201428776,2138524.8000452,2781186.00147398,51206
2019/05/05 00:00:00+00,2019,5,5,chokepoint4,Bab el-Mandeb Strait,20,13,4,0,26,37,63,1313718.20032794,659490.982729132,7371.83909361816,0,1434142.43338784,1980581.02215069,3414723.45553853,51207
2019/05/06 00:00:00+00,2019,5,6,chokepoint4,Bab el-Mandeb Strait,12,8,3,2,20,25,45,941919.500887343,356745.93612864,22961.6223758013,9027.5494985981,877013.463604898,1330654.60889038,2207668.07249528,51208
2019/05/07 00:00:00+00,2019,5,7,chokepoint4,Bab el-Mandeb Strait,15,12,4,4,16,35,51,1105771.22079022,532337.071494214,28710.4135560579,15626.967710705,766195.865088846,1682445.67355119,2448641.53864004,51209
2019/05/08 00:00:00+00,2019,5,8,chokepoint4,Bab el-Mandeb Strait,15,14,2,3,17,34,51,817583.44495335,750630.372652747,34265.5526545974,14255.4972848794,1616944.68422272,1616734.86754557,3233679.5517683,51210
2019/05/09 00:00:00+00,2019,5,9,chokepoint4,Bab el-Mandeb Strait,17,16,2,7,12,42,54,1064258.75445622,635378.644233139,3859.13182549085,14851.7440322612,589843.709986542,1718348.27454711,2308191.98453365,51211
2019/05/10 00:00:00+00,2019,5,10,chokepoint4,Bab el-Mandeb Strait,16,4,1,1,15,22,37,1047327.16708692,206923.281227183,494.374463263,2828.1504334731,729940.175668034,1257572.97321084,1987513.14887888,51212
