date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/01/11 00:00:00+00,2019,1,11,chokepoint6,Strait of Hormuz,9,12,3,1,49,25,74,379027.427590906,274277.838386202,4757.59722718619,6926.39008872991,1543400.46306392,664989.253293024,2208389.71635695,47202
2019/01/12 00:00:00+00,2019,1,12,chokepoint6,Strait of Hormuz,10,11,7,1,44,29,73,291600.7935875,192764.300580709,45934.1463009926,7998.58017387151,982490.942933283,538297.820643074,1520788.76357636,47205
2019/03/02 00:00:00+00,2019,3,2,chokepoint6,Strait of Hormuz,13,12,1,1,36,27,63,374608.290278445,668018.941275969,3500.52915388961,0,1539977.19120929,1046127.7607083,2586104.95191759,47206
2019/01/13 00:00:00+00,2019,1,13,chokepoint6,Strait of Hormuz,9,18,3,1,41,31,72,492665.241269749,639869.673583161,8690.67661338656,0,3131276.43083015,1141225.5914663,4272502.02229645,47208
2019/03/03 00:00:00+00,2019,3,3,chokepoint6,Strait of Hormuz,5,13,2,3,58,23,81,317478.395665857,299902.989250623,14227.130497706,3496.51534158886,1333545.72667829,635105.030755776,1968650.75743406,47209
2019/04/21 00:00:00+00,2019,4,21,chokepoint6,Strait of Hormuz,16,19,3,3,52,41,93,602056.089356362,491896.553301163,9884.20002361423,4429.46892740827,2505272.86726827,1108266.31160855,3613539.17887682,47210
2019/07/30 00:00:00+00,2019,7,30,chokepoint6,Strait of Hormuz,14,22,8,2,48,46,94,409956.12442379,659297.752460242,28748.4088163913,2983.71531203547,2706234.3614969,1100986.00101246,3807220.36250936,47212
2019/01/14 00:00:00+00,2019,1,14,chokepoint6,Strait of Hormuz,8,8,4,5,46,25,71,359397.670446528,120353.448997684,15839.4493275293,4518.17615270796,2971909.0363768,500108.74492445,3472017.78130125,47213
2019/03/04 00:00:00+00,2019,3,4,chokepoint6,Strait of Hormuz,15,24,2,2,47,43,90,595656.786603972,574535.761266763,11218.3942963966,5282.79826569837,1546773.23645747,1186693.74043283,2733466.9768903,47214
2019/04/22 00:00:00+00,2019,4,22,chokepoint6,Strait of Hormuz,22,23,2,4,52,51,103,753917.357888489,881007.397760344,13415.5729060831,9314.21148777594,3112654.02721566,1657654.54004269,4770308.56725836,47215
