date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/07/20 00:00:00+00,2019,7,20,chokepoint1,Suez Canal,18,16,7,1,15,42,57,1399491.25379076,1080499.4066039,71523.9008127601,16922.0307479926,834548.940566485,2568436.59195541,3402985.53252189,1
2019/01/01 00:00:00+00,2019,1,1,chokepoint1,Suez Canal,23,22,14,4,22,63,85,1937885.53897064,943956.680261012,174972.926919855,46461.1025340989,1326360.28648818,3103276.2486856,4429636.53517378,2
2019/07/21 00:00:00+00,2019,7,21,chokepoint1,Suez Canal,20,6,6,1,17,33,50,1647488.33261524,335676.163630092,19404.0797228884,13855.0870901572,1261957.03053425,2016423.66305838,3278380.69359263,3
2019/07/22 00:00:00+00,2019,7,22,chokepoint1,Suez Canal,13,11,9,5,5,38,43,1214084.63662499,898103.578807225,120115.728714605,87265.8092579577,258109.710477035,2319569.75340478,2577679.46388181,4
2019/07/23 00:00:00+00,2019,7,23,chokepoint1,Suez Canal,14,18,4,2,16,38,54,1367408.04262638,974253.824537685,64564.2560160685,40105.1445214641,962073.742076925,2446331.2677016,3408405.00977852,5
2019/07/24 00:00:00+00,2019,7,24,chokepoint1,Suez Canal,23,6,2,2,16,33,49,2399218.58628855,609189.883284514,12771.951320463,36970.8890044979,1266732.39016242,3058151.30989803,4324883.70006045,6
2019/07/25 00:00:00+00,2019,7,25,chokepoint1,Suez Canal,19,18,4,1,19,42,61,1608715.08432748,649134.058588155,75280.1731659689,18743.3620178829,1416419.52750181,2351872.67809949,3768292.2056013,7
2019/07/26 00:00:00+00,2019,7,26,chokepoint1,Suez Canal,22,11,8,2,9,43,52,2493482.68894495,514495.454777166,95601.170895117,35442.7361657227,526949.614059689,3139022.05078296,3665971.66484265,8
2019/07/27 00:00:00+00,2019,7,27,chokepoint1,Suez Canal,18,10,5,3,14,36,50,1695394.49926701,663110.823959484,60956.3358026834,50664.5869955072,1033416.63291441,2470126.24602468,3503542.87893909,9
2019/07/28 00:00:00+00,2019,7,28,chokepoint1,Suez Canal,15,16,7,2,19,40,59,1043537.77337638,974204.455517082,93126.2612306499,31946.3588890719,1110943.33177176,2142814.84901318,3253758.18078494,10
2019/07/29 00:00:00+00,2019,7,29,chokepoint1,Suez Canal,16,6,4,2,20,28,48,1310864.26096066,491802.794729757,12074.4798179709,53541.3224749837,1599638.95984813,1868282.85798338,3467921.8178315,11
2019/07/30 00:00:00+00,2019,7,30,chokepoint1,Suez Canal,23,14,4,4,14,45,59,2198333.18531478,700125.898295382,40912.3850940721,69056.142168424,747642.103264424,3008427.61087265,3756069.71413708,12
2019/07/31 00:00:00+00,2019,7,31,chokepoint1,Suez Canal,16,17,5,3,10,41,51,1572739.14606371,953707.539126432,22842.904346278,50272.1161096519,643294.129950982,2599561.70564607,3242855.83559706,13
2019/08/01 00:00:00+00,2019,8,1,chokepoint1,Suez Canal,19,18,9,2,26,48,74,1653510.08835936,879271.990780595,92541.6056586807,28609.4384269365,2027121.14944207,2653933.12322557,4681054.27266764,14
2019/08/02 00:00:00+00,2019,8,2,chokepoint1,Suez Canal,25,7,6,5,18,43,61,2827525.19356429,683099.744351118,27877.1462848738,82367.3677090127,1403707.61670847,3620869.45190929,5024577.06861776,15
2019/01/02 00:00:00+00,2019,1,2,chokepoint1,Suez Canal,26,4,6,5,10,41,51,2647841.95778894,238913.482634289,33158.1632361284,99397.7054037397,618157.369897681,3019311.30906309,3637468.67896077,16
2019/01/03 00:00:00+00,2019,1,3,chokepoint1,Suez Canal,12,16,10,3,24,41,65,756668.19936424,1050450.2904911,81769.4376788687,50061.2056010766,1069215.52285565,1938949.13313529,3008164.65599094,17
2019/08/03 00:00:00+00,2019,8,3,chokepoint1,Suez Canal,16,18,12,0,16,46,62,1331403.33365568,970254.222696501,142505.004512579,0,838599.676502679,2444162.56086476,3282762.23736743,18
2019/08/04 00:00:00+00,2019,8,4,chokepoint1,Suez Canal,17,12,4,3,13,36,49,1403843.20168005,544871.25850625,43231.5555631818,48334.3955693645,792908.606401276,2040280.41131884,2833189.01772012,19
2019/01/04 00:00:00+00,2019,1,4,chokepoint1,Suez Canal,18,13,1,1,15,33,48,1668678.10517119,583044.244027889,1028.90467630168,16193.4248390232,1102151.92400679,2268944.6787144,3371096.60272119,20
2019/01/05 00:00:00+00,2019,1,5,chokepoint1,Suez Canal,20,9,1,1,13,31,44,1982598.92158701,771414.097213398,1542.09349708396,16313.7550962774,685447.962426501,2771868.86739376,3457316.82982027,21
2019/08/05 00:00:00+00,2019,8,5,chokepoint1,Suez Canal,16,11,4,3,11,34,45,1301408.68317562,534896.077982662,7973.66556183591,56597.2909569939,613675.278494804,1900875.71767711,2514550.99617192,22
2019/08/06 00:00:00+00,2019,8,6,chokepoint1,Suez Canal,18,17,5,4,18,44,62,1943219.65160413,1093478.46306266,63760.6628780527,61681.100010947,1218778.23008374,3162139.87755579,4380918.10763953,23
2019/01/06 00:00:00+00,2019,1,6,chokepoint1,Suez Canal,13,12,7,0,19,32,51,1285767.30756762,754693.508988105,54619.3910467182,0,741937.956129385,2095080.20760245,2837018.16373183,24
2019/01/07 00:00:00+00,2019,1,7,chokepoint1,Suez Canal,9,14,7,2,15,32,47,710624.677402583,696005.116697064,91788.5176764647,34564.3286128574,911593.619322467,1532982.64038897,2444576.25971144,25
2019/08/07 00:00:00+00,2019,8,7,chokepoint1,Suez Canal,26,7,8,2,20,43,63,2370164.25430612,312025.355945705,65893.4941434457,36443.4851544905,1008712.54298281,2784526.58954976,3793239.13253257,26
2019/01/08 00:00:00+00,2019,1,8,chokepoint1,Suez Canal,22,8,5,3,11,38,49,2344830.6974154,410517.15905289,48585.1070839651,56799.1834792215,1023182.89640012,2860732.14703148,3883915.04343159,27
2019/08/08 00:00:00+00,2019,8,8,chokepoint1,Suez Canal,17,13,2,1,19,33,52,1498842.06847409,672027.044537721,10900.0770837766,17725.057241121,1395676.54110113,2199494.24733671,3595170.78843785,28
2019/01/09 00:00:00+00,2019,1,9,chokepoint1,Suez Canal,18,15,5,2,19,40,59,2089385.76552126,600856.745809959,41384.0230529688,46673.1268981226,868007.970465138,2778299.66128231,3646307.63174745,29
2019/01/10 00:00:00+00,2019,1,10,chokepoint1,Suez Canal,14,10,6,5,16,35,51,1210572.23990877,616282.033129918,72088.5507238702,93483.6711676994,1227391.663846,1992426.49493026,3219818.15877626,30
2019/08/09 00:00:00+00,2019,8,9,chokepoint1,Suez Canal,22,13,3,3,16,41,57,2188830.67234061,827535.041111601,23165.7724461318,49120.3820815555,1059199.74201749,3088651.8679799,4147851.60999739,31
2019/08/10 00:00:00+00,2019,8,10,chokepoint1,Suez Canal,16,17,5,0,18,38,56,1575484.67899491,800160.652928528,82202.2144721865,0,1155059.14125513,2457847.54639563,3612906.68765076,32
2019/01/11 00:00:00+00,2019,1,11,chokepoint1,Suez Canal,19,9,2,4,20,34,54,1421342.02492845,498584.883833097,13549.0855935036,74986.7375070924,1240298.0254242,2008462.73186214,3248760.75728634,33
2019/08/11 00:00:00+00,2019,8,11,chokepoint1,Suez Canal,13,18,10,1,18,42,60,1104322.28324125,1104222.14939487,105109.652848913,14115.844735735,917661.472492655,2327769.93022077,3245431.40271343,34
2019/08/12 00:00:00+00,2019,8,12,chokepoint1,Suez Canal,16,13,6,4,17,39,56,1567545.17447243,662461.337667911,24674.6817486917,78110.5575283609,1459046.21134709,2332791.7514174,3791837.96276449,35
2019/01/12 00:00:00+00,2019,1,12,chokepoint1,Suez Canal,13,11,8,1,12,33,45,1422984.37454634,772587.401031835,58887.4613916701,12776.9733478267,1102304.55895983,2267236.21031767,3369540.7692775,36
2019/08/13 00:00:00+00,2019,8,13,chokepoint1,Suez Canal,14,13,9,3,16,39,55,1084899.01016014,771626.763622023,59974.5545826661,50481.6127602843,1097520.51396565,1966981.94112511,3064502.45509076,37
2019/01/13 00:00:00+00,2019,1,13,chokepoint1,Suez Canal,14,8,3,0,15,25,40,1270112.71868309,411891.628219627,35385.7539047597,0,1135579.31359793,1717390.10080748,2852969.41440541,38
2019/08/14 00:00:00+00,2019,8,14,chokepoint1,Suez Canal,22,6,2,3,15,33,48,1928248.57180821,453945.296205561,22224.392325662,46713.4431241361,1195028.81723775,2451131.70346357,3646160.52070132,39
2019/01/14 00:00:00+00,2019,1,14,chokepoint1,Suez Canal,19,15,5,4,10,43,53,1456138.73909248,573358.737189722,67709.8520922756,65989.8572084792,473821.800101634,2163197.18558296,2637018.98568459,40
2019/08/15 00:00:00+00,2019,8,15,chokepoint1,Suez Canal,18,21,9,0,12,48,60,1779701.06830332,832767.564387272,68710.1430117828,0,387599.135293608,2681178.77570238,3068777.91099598,41
2019/08/16 00:00:00+00,2019,8,16,chokepoint1,Suez Canal,18,12,5,1,19,36,55,1546270.83876547,592944.195141007,10844.7341142906,14326.9746424739,1248327.80681479,2164386.74266324,3412714.54947803,42
2019/01/15 00:00:00+00,2019,1,15,chokepoint1,Suez Canal,18,7,5,0,19,30,49,1692193.47615851,286770.293113472,50246.3189391497,0,1044355.93547446,2029210.08821113,3073566.02368559,43
2019/01/16 00:00:00+00,2019,1,16,chokepoint1,Suez Canal,20,3,2,3,13,28,41,2158259.25169959,266516.524131921,17071.5582195703,49962.3148506225,1245538.10608873,2491809.64890171,3737347.75499044,44
2019/08/17 00:00:00+00,2019,8,17,chokepoint1,Suez Canal,19,4,4,5,12,32,44,2293276.42007664,452084.139476684,23929.3998821857,84062.099185321,1151654.06368344,2853352.05862083,4005006.12230427,45
2019/08/18 00:00:00+00,2019,8,18,chokepoint1,Suez Canal,11,12,13,5,10,41,51,800561.746511689,659761.402826048,71095.7791169785,88666.6105654109,586978.753044834,1620085.53902013,2207064.29206496,46
2019/01/17 00:00:00+00,2019,1,17,chokepoint1,Suez Canal,11,9,3,1,15,24,39,1056760.70113367,334663.561795662,19226.3105501329,27455.5951236782,664003.984744149,1438106.16860314,2102110.15334729,47
2019/01/18 00:00:00+00,2019,1,18,chokepoint1,Suez Canal,19,6,3,1,13,29,42,1701309.40470025,406910.875373109,23377.9755376239,20583.3815018152,941498.035090866,2152181.6371128,3093679.67220366,48
2019/01/19 00:00:00+00,2019,1,19,chokepoint1,Suez Canal,19,9,4,1,16,33,49,1749586.63066435,598512.720151028,6637.78321382529,15558.0569468601,1060054.31654575,2370295.19097606,3430349.50752181,49
2019/08/19 00:00:00+00,2019,8,19,chokepoint1,Suez Canal,13,17,2,1,12,33,45,1244386.75894174,1001145.01824368,11904.1205272337,13418,518342.270327147,2270853.89771265,2789196.1680398,50
2019/08/20 00:00:00+00,2019,8,20,chokepoint1,Suez Canal,21,15,5,1,11,42,53,2090626.37650871,848832.009167119,31751.0840874503,5867.89015016567,587170.681790999,2977077.35991344,3564248.04170444,51
2019/08/21 00:00:00+00,2019,8,21,chokepoint1,Suez Canal,23,7,2,2,18,34,52,2187480.15628997,629197.39172553,23843.9002458243,29716.7400165372,1353851.62092992,2870238.18827786,4224089.80920778,52
2019/08/22 00:00:00+00,2019,8,22,chokepoint1,Suez Canal,15,13,5,2,17,35,52,1364065.52013939,658358.579506303,53810.8104044104,34656.6678280793,1658854.0019538,2110891.57787818,3769745.57983198,53
2019/08/23 00:00:00+00,2019,8,23,chokepoint1,Suez Canal,19,22,10,1,16,52,68,2075515.25475607,1172578.91883247,98285.1400857929,2699.71158262924,735983.5531034,3349079.02525696,4085062.57836036,54
2019/08/24 00:00:00+00,2019,8,24,chokepoint1,Suez Canal,22,12,7,2,15,43,58,2328077.01707971,722464.681531791,81991.4209011112,33933.497238701,1323147.09185073,3166466.61675131,4489613.70860205,55
2019/08/25 00:00:00+00,2019,8,25,chokepoint1,Suez Canal,15,20,7,2,20,44,64,933825.411113756,977036.082835746,81160.2683803176,42575.6631615662,1078607.11405521,2034597.42549139,3113204.5395466,56
2019/08/26 00:00:00+00,2019,8,26,chokepoint1,Suez Canal,17,13,9,3,18,42,60,1563993.21754251,879695.691727086,137282.054403578,69340.6834035716,1137352.20099726,2650311.64707675,3787663.84807401,57
